time,accZ,velZ
0.0,1.0058087898899615,0.14564180846958863
0.9820000000036089,1.0058087898899615,0.14584695169334255
1.9800000000104774,1.0062970465840828,0.146069338190506
3.011000000013155,1.0072735599723255,0.14632621123448866
4.377000000007683,1.0082500733605682,0.14661757082529048
5.379000000000815,1.0087383300546895,0.1469261736895019
6.3950000000040745,1.0097148434429324,0.1472692631005325
7.4060000000026776,1.0102031001370537,0.14762959578497267
8.408000000010361,1.010691356831175,0.14800717174282246
9.775000000008731,1.0111796135252964,0.14840199097408183
10.79200000000128,1.0116678702194177,0.14881405347875076
11.811000000001513,1.012156126913539,0.14924335925682933
12.811000000001513,1.0131326403017817,0.14970715158172704
14.160000000003492,1.013620896995903,0.15018818718003435
15.155000000013388,1.0145974103841457,0.15070370932516086
16.185000000012224,1.0155739237723884,0.15125371801710652
17.17500000000291,1.016550437160631,0.15183821325587138
18.228000000002794,1.0170386938547524,0.1524399517680458
19.628000000011525,1.018015207242995,0.15307617682703942
20.670000000012806,1.0189917206312378,0.1537468884328522
21.635000000009313,1.019479977325359,0.15443484331207458
22.648000000001048,1.0204564907136018,0.15515728473811616
23.663000000000466,1.0204564907136018,0.1558797261641577
25.038000000000466,1.0209447474077231,0.15661941086360887
26.04000000000815,1.0209447474077231,0.15735909556306002
27.037000000011176,1.0204564907136018,0.1580815369891016
28.04100000001199,1.0204564907136018,0.15880397841514315
29.0679999999993,1.0204564907136018,0.1595264198411847
30.47500000000582,1.0199682340194804,0.16023161799381666
31.49000000000524,1.0199682340194804,0.16093681614644864
32.503000000011525,1.0189917206312378,0.16160752775226145
33.54200000000128,1.0185034639371164,0.16226099608466465
34.53000000001339,1.0175269505488738,0.16287997787024866
35.88999999999942,1.016550437160631,0.16346447310901355
36.89100000000326,1.0160621804665098,0.16403172507436878
37.95600000000559,1.015085667078267,0.16456449049290486
38.95900000000256,1.0145974103841457,0.16508001263803135
39.94100000000617,1.0141091536900244,0.16557829150974826
41.29800000000978,1.0141091536900244,0.16607657038146514
42.320000000006985,1.0141091536900244,0.16657484925318203
43.31100000000151,1.0141091536900244,0.1670731281248989
44.31700000001001,1.0145974103841457,0.16758865027002542
45.33400000000256,1.0155739237723884,0.1681386589619711
46.719000000011874,1.016550437160631,0.16872315420073597
47.73400000001129,1.0185034639371164,0.16937662253313918
48.72600000000966,1.0204564907136018,0.17009906395918073
49.73099999999977,1.0228977741842085,0.17090772175227023
50.770000000004075,1.0248508009606938,0.17178535263899808
52.13999999999942,1.0272920844313005,0.1727491998927739
53.138000000006286,1.0292451112077858,0.17378202024018807
54.15899999999965,1.0307098812901498,0.174866570407831
55.185000000012224,1.0321746513725139,0.1760028503957027
56.204000000012456,1.0336394214548779,0.17719086020380317
57.562000000005355,1.035104191537242,0.1784305998321324
58.578000000008615,1.036568961619606,0.17972206928069043
59.61500000000524,1.0375454750078488,0.1810480252760676
60.60599999999977,1.0390102450902128,0.18242571109167355
61.969000000011874,1.0409632718666981,0.18387237000091786
62.96500000001106,1.0434045553373048,0.1854052452772101
64.00500000000466,1.0468223521961542,0.18705882346736952
65.0,1.0517049191373675,0.1888848343916248
66.02300000000105,1.0565874860785809,0.19088327804997593
67.38500000000931,1.0624465664080371,0.1930886409892422
68.40400000000955,1.0678173900433718,0.1954836799360139
69.39400000000023,1.0731882136787065,0.1980683948902911
70.3920000000071,1.0785590373140412,0.20084278585207377
71.40700000000652,1.0829533475611333,0.20377236627454273
72.78399999999965,1.0868594011141042,0.20683989288428847
73.77200000001176,1.0897889412788322,0.2100108791344917
74.79000000000815,1.0927184814435602,0.21328532502515246
75.78500000000349,1.0951597649141669,0.2166459872828612
76.80400000000373,1.098089305078895,0.22011010918102744
78.22000000000116,1.102483615325987,0.22372942053988
79.23400000001129,1.1093192090436859,0.22759013772646683
80.20600000000559,1.1176195728437486,0.23174399056101663
81.24600000001374,1.128361220114418,0.2362771954105774
82.61000000000058,1.1405676374674516,0.24124148209537796
83.60400000000664,1.154238824902849,0.24668858043564695
84.61600000000908,1.1679100123382467,0.2526184904313845
85.64900000000489,1.1810929430795227,0.2590139688091809
86.63900000001013,1.1937876171266777,0.2658577722956266
88.0060000000085,1.2050175210914684,0.27309817107049295
89.0170000000071,1.2162474250562594,0.2807351651337798
90.03900000000431,1.2274773290210501,0.2887687544854872
91.03399999999965,1.2382189762917197,0.29718169585220555
92.03399999999965,1.2489606235623891,0.30597398923393493
93.42300000000978,1.2611670409154228,0.31519736445090396
94.45000000001164,1.2758147417390628,0.32493803787016073
95.4429999999993,1.2924154693391885,0.33526498258534354
96.44500000000698,1.3114574804099208,0.3462644149635003
97.44700000000012,1.331964261563017,0.35798806482485984
98.91500000000815,1.353447556104356,0.3704704187162412
99.94600000001083,1.374930850645695,0.38371147663764454
100.9320000000007,1.397878915269398,0.3977629684092986
101.9490000000078,1.420826979893101,0.4126248940312034
102.96400000000722,1.4427985311285614,0.4282627669565396
104.37300000000687,1.4647700823640217,0.44467658718530745
105.36300000001211,1.485276863517118,0.461814624897278
106.37900000000081,1.5057836446702142,0.4796768800924513
107.39400000000023,1.5277551959056745,0.49831508259105606
108.41400000000431,1.549726747141135,0.5177292323930923
109.7950000000128,1.5707217849883526,0.5378848429517411
110.80100000000675,1.5936698496120556,0.5588508873606405
111.81500000000233,1.6190591977063653,0.5807135819868384
112.80600000001141,1.6464015725771604,0.6035418999239734
114.1770000000106,1.676185230918562,0.6274220575390934
115.1990000000078,1.707433659342328,0.6524057846524272
116.21600000000035,1.7406351145425791,0.6785620543576127
